Nom de la commune;Code commune;Salaire_2022;Salaire_2023;Salaire_evol
Valenciennes;59606;2 114;2 220;0,05
Anglet;64024;2 255;2 353;0,043
Bagnolet;93006;2 563;2 612;0,019
Bron;69029;2 516;2 609;0,037
Châlons-en-Champagne;51108;2 223;2 321;0,044
Châteauroux;36044;2 161;2 257;0,044
Arras;62041;2 265;2 391;0,056
Thionville;57672;2 132;2 227;0,045
Villenave-d'Ornon;33550;2 332;2 409;0,033
Castres;81065;2 427;2 539;0,046
Bourg-en-Bresse;01053;2 334;2 439;0,045
Gagny;93032;1 991;2 034;0,022
Le Cannet;06030;2 178;2 279;0,046
Angoulême;16015;2 232;2 336;0,047
Garges-lès-Gonesse;95268;2 052;2 121;0,034
Villepinte;93078;2 893;3 034;0,049
Stains;93072;2 283;2 359;0,033
Gap;05061;2 135;2 230;0,044
Poissy;78498;3 453;3 797;0,1
Colomiers;31149;2 623;2 698;0,029
Wattrelos;59650;2 030;2 123;0,046
Draguignan;83050;2 174;2 303;0,059
Compiègne;60159;2 391;2 484;0,039
Montélimar;26198;2 171;2 271;0,046
Boulogne-sur-Mer;62160;2 136;2 225;0,042
Douai;59178;2 221;2 340;0,054
Marcq-en-Barœul;59378;2 683;2 827;0,054
Neuilly-sur-Marne;93050;2 408;2 421;0,005
Le Lamentin;972213;;;
Saint-Joseph;974412;;;
Pontault-Combault;77373;2 212;2 284;0,033
Saint-Benoît;974410;;;
La Ciotat;13028;2 768;2 853;0,031
Joué-lès-Tours;37122;2 344;2 389;0,019
Tremblay-en-France;93073;3 535;3 734;0,056
Chartres;28085;2 412;2 536;0,051
Oullins-Pierre-Bénite;69149;2 767;2 890;0,044
Thonon-les-Bains;74281;2 309;2 385;0,033
Franconville;95252;2 270;2 306;0,016
Saint-Martin-d'Hères;38421;2 410;2 506;0,04
Annemasse;74012;2 241;2 300;0,026
Savigny-sur-Orge;91589;2 181;2 245;0,029
Échirolles;38151;2 509;2 631;0,049
Palaiseau;91477;3 219;3 269;0,016
Romainville;93063;2 478;2 532;0,022
Saint-Raphaël;83118;2 199;2 268;0,031
Six-Fours-les-Plages;83129;2 226;2 297;0,032
Sainte-Marie;974418;;;
Conflans-Sainte-Honorine;78172;2 449;2 548;0,04
Vitrolles;13117;2 485;2 582;0,039
Châtillon;92020;3 936;4 079;0,036
Meyzieu;69282;2 647;2 745;0,037
Athis-Mons;91027;2 267;2 334;0,03
La Possession;974408;;;
Matoury;973307;;;
Bezons;95063;3 518;3 647;0,037
Haguenau;67180;2 449;2 557;0,044
Creil;60175;2 263;2 334;0,031
Villeneuve-Saint-Georges;94078;2 319;2 456;0,059
Villefranche-sur-Saône;69264;2 294;2 398;0,045
Saint-Leu;974413;;;
Châtenay-Malabry;92019;2 650;2 699;0,018
Saint-Chamond;42207;2 308;2 389;0,035
Sainte-Geneviève-des-Bois;91549;2 216;2 266;0,023
Roanne;42187;2 315;2 412;0,042
Le Perreux-sur-Marne;94058;2 295;2 406;0,048
Mâcon;71270;2 319;2 426;0,046
Auxerre;89024;2 198;2 305;0,049
Schiltigheim;67447;2 733;2 829;0,035
